Transaction ID,Customer ID,Internal ID,Original Internal ID,Obligor Name,City,Country,Zip Code,Industry Code,Industry Code Type,Obligor Internal Risk Rating,TIN,Stock Exchange,Ticker Symbol,CUSIP,Internal Credit Facility ID,Original Internal Credit Facility ID,Origination Date,Maturity Date,Credit Facility Type,Credit Facility Purpose,Committed Exposure Global,Utilized Exposure Global
TXN564682,05U22MQIXZ,JKHQKZK9BZ,8N3K9EMQ7R,Company 95,City 67,US,20296,465368,2,A,,,TSLA,XH498V,3EG86ZFSJLS6,6FGUKXCO9ORC,2021-09-22,2040-12-18,4,5,23747979,32624512
TXN381606,VUT35TTI7D,GPFQKAZOQD,2DE6N8I6F2,Company 430,City 71,US,49521,398080,2,A+,13-6308892,NASDAQ,MSFT,QZ4C6J,I1YQ84YIC77S,0CC64E9TRI4D,2023-10-22,2032-08-21,8,30,46867423,38791496
TXN722970,LT7F4LI46L,43PLRZHP9W,4122O99GTC,Company 42,City 46,CA,60954,448279,2,B,,,MSFT,JYENZF,JZ9AQ2PKV0TI,F3RLWLJV87WG,2021-03-02,2035-10-01,18,14,26150965,27601956
TXN118208,WQ3DH08YC3,FIPK0DARF0,U799L7XSQR,Company 52,City 2,CA,90414,706659,3,A+,29-4543955,,,23QZ9R,WGDQA716ZZFB,KY28BMNPCE3P,2012-02-02,2031-09-14,10,26,37176131,10362541
TXN290690,LPBX2QEYIT,0Z3MDR3MUD,P7SGV4HMQJ,Company 868,City 39,US,83475,40421,2,B,58-2572431,LSE,GOOGL,9BE23Q,5OFYWOP248Q2,T987KIYT13FI,2013-03-02,2035-07-20,14,27,35575413,2588110
TXN892037,US86E2UAGX,P9RJCUEFMQ,S2BN04PKKK,Company 632,City 62,FR,28246,255284,2,C,,NASDAQ,,NPBMUC,IPT9Q18XS2W9,3Q2Z40JJXALS,2021-12-13,2038-09-24,2,26,30752721,26554370
TXN190247,8LQ00L7ZDG,TTVT25V5UQ,I11XKG2VP0,Company 846,City 13,FR,61980,620884,3,A+,,,,XYOC3R,5P63Z4PG5JE0,4RF9CEU8V6Y9,2023-09-21,2026-09-28,13,6,1770280,41824550
TXN612042,WZWU2YBGKD,WOWTNK1NTM,C62J179J27,Company 525,City 33,DE,75917,215362,1,C,,NYSE,AAPL,2244M8,0VI27E5RFUOV,N17F71J5REJ7,2016-12-28,2026-11-12,4,11,46710609,18212842
TXN611636,VZ7XMMPXBS,56RYBGJPAR,TD3EIDU3FI,Company 277,City 17,CA,35094,958036,3,B,,NYSE,MSFT,C1CPGD,ES000ILA7DC2,209S7LKEFBB1,2023-05-08,2031-12-05,16,11,9942250,40358939
TXN713953,HGILBZFCOK,MCYZ4F25PL,E0ZB9SQEX4,Company 961,City 59,CA,27368,52380,3,A,61-2005186,NASDAQ,,ZRJSIS,HPJIVVN2OG9D,Z9O5A3JJ0HXO,2013-05-17,2035-05-28,8,9,23228158,327712
TXN331692,YGSJDZWKR1,1KAE6PKX10,4R4RWDI6ZL,Company 458,City 83,DE,60697,146489,3,A+,75-7999297,NASDAQ,AAPL,TPADAD,40NTFNXIG4RP,1VNWSSR6OAUB,2014-09-20,2039-07-05,5,20,20837848,22960512
TXN332048,D8Z51F6TWE,FINC3FRCVI,VYORIJ6XJR,Company 488,City 30,FR,96084,216210,2,C,,NYSE,MSFT,9VEF01,0TYPYO2MUQDW,4RZHQKC0GA7R,2021-03-25,2026-06-19,5,27,16889703,21287967
TXN801482,IITNU7M5XL,1XPX1VJTG2,RXKW7NO5AU,Company 106,City 9,CA,72530,186944,3,B+,,,MSFT,X1369H,2PLJ1UNNR5NP,B03DTR7F35L0,2019-05-01,2030-05-10,10,11,36925066,9836587
TXN568155,RY3QB6P7XX,BKOKKJGN41,YLO4K2Z9J3,Company 67,City 85,FR,93355,749232,1,C,42-4538317,NYSE,TSLA,HQCJO0,ZO04VSD2PITE,30OK7D715KS9,2020-03-07,2025-03-15,0,5,27419865,44153820
TXN722562,M4CZGRB7FT,CC6JY6QM9G,3K7EJ332FS,Company 506,City 84,UK,60370,639622,1,C,,,,DHL9WN,0UN0TXP5D3PO,R3ALL203GOWF,2017-08-29,2029-12-06,2,5,23417980,12403033
TXN310467,8ZPUBUYA4E,5BUZW4KLNK,SNYG9NVUGJ,Company 231,City 75,UK,99148,780649,1,C,34-4449740,NYSE,,LMJEG5,NWVO9JI27PWO,QDC7RFKEJTAN,2016-12-06,2029-06-20,14,3,2853031,42101125
TXN252181,H458CKB3RM,V878NJKBDI,X4JDV8206Y,Company 252,City 73,US,45503,809846,2,B,70-4391532,LSE,MSFT,1TJONQ,F8A8WNF71BU0,LLHH81DRS9R3,2017-12-31,2026-02-20,8,14,44869024,6827855
TXN721222,C51C0RXLQG,8GTUWRWBJP,D6O0Z7Q69H,Company 255,City 62,FR,81854,929375,3,B,51-3634225,,GOOGL,HD7PZP,9O9HC64UJGOA,OGLTJHR23SYN,2015-09-10,2031-04-04,2,27,49388308,14571227
TXN846808,EZGHAFCUFI,16XA9IRHOJ,F6JBNL7MZ9,Company 614,City 45,US,56629,642445,3,A,,,MSFT,TCUJJK,VZYQG98B0ZCF,GYGZC52SJ0GF,2018-02-15,2035-12-29,12,17,33130121,36186588
TXN167711,M53GAZ4JOP,ITGH9276MD,IWF88LZZSR,Company 214,City 97,FR,94913,721819,1,A+,89-9167765,LSE,AAPL,JPC1PB,8P5RFQ0N8L09,G30PIYLJGUOD,2016-05-30,2040-01-24,18,3,17892625,17857940
TXN903682,3F0YG7EE9K,7I7TP2E9YO,UYAHGJL029,Company 995,City 6,FR,44598,830165,1,A,,NASDAQ,AAPL,4E8D29,9IN8792D5Z3D,URCQ0TWFD6UB,2011-01-27,2030-09-25,11,6,28786833,2495062
TXN349859,T0R9JJAU26,QLI86241MB,PA6KM7FD1D,Company 366,City 89,US,46674,921005,3,B,,NYSE,,E0M5FB,YNU4ZXFA5SVO,6UHTOBD7YYE3,2010-12-02,2038-08-08,16,27,24810282,32702848
TXN320967,OQD31V7JS3,NCYFVZ66KU,HT2R58J6XC,Company 188,City 43,US,89432,155341,2,A+,,NASDAQ,,1QJ9YF,1IY0A07ILAUA,S28JMADVL2D0,2022-03-22,2035-06-01,11,7,11473477,21857693
TXN613364,ZLWSG4BTGP,KU2DG5L7I6,WKYSVZFB3Y,Company 691,City 78,US,48922,550921,3,C,,NASDAQ,GOOGL,N3F2MY,3X48DHIDNUQP,M81CAI1XCDCE,2014-10-24,2027-10-20,1,15,29121126,36056119
TXN865118,NL7XTXKNSZ,D2HUM35E5K,3LAUW8K02N,Company 852,City 12,US,42819,996845,3,A,32-4714170,NASDAQ,,WNI2DI,HDEUDIYPK81O,MOCZ6LJ8DG7K,2016-01-21,2031-12-05,10,0,27389213,29092465
TXN317212,LBV3TAM9IW,JCSSAP82ZF,3VI118P3LX,Company 997,City 92,CA,19421,685226,3,C,,NASDAQ,GOOGL,VBWZI3,J6S05PM4ABLT,PUHPUB3W1UUT,2010-03-19,2036-02-22,0,16,12577149,41209449
TXN647137,HA1U30WT61,1FX9JQIL3A,08YCV6EOOQ,Company 580,City 44,DE,80926,164508,1,A+,,LSE,GOOGL,T7LYEX,QSGB4VM199VE,AOXC8NEUQQTB,2020-01-15,2030-01-05,0,8,24631924,35216912
TXN878694,JBAIX488P3,2SQE5TYKNX,D7GQEVPJDF,Company 718,City 31,UK,20588,229551,3,C,,NASDAQ,GOOGL,1A8ZUU,TNBS955DMSU9,ZY27WLTW5G2P,2020-10-17,2030-07-18,17,22,16852395,1610038
TXN196002,7XWHDBP6KH,VRJES6R251,443XV225V9,Company 999,City 100,DE,72536,828103,1,A,,NYSE,GOOGL,2JC2FK,Y2MQLJZGW5NY,UKJ0ACAM4M3G,2023-06-04,2039-06-20,11,15,11816832,41347615
TXN353271,78DONXOSIF,NWBVZ3X1TP,CU58ABTJPF,Company 614,City 60,US,31725,536656,1,C,51-3414267,NYSE,AAPL,6J5KY1,HBBHEKO08TWE,HAY3XQQPYGUA,2014-05-05,2028-07-20,8,19,2797003,19647968
TXN213852,K6J9TZAOYJ,U2Q96ZJQEO,Z32DO6JV87,Company 893,City 31,DE,87873,701474,1,B+,,,MSFT,9BMVKO,F0RVH7WVRQGC,8QL084Z0CWB1,2016-02-28,2039-08-07,12,28,32706735,38956669
TXN484832,HNQIP6AJ8A,A45R30S4RS,NQR3HTXPAD,Company 443,City 82,CA,78031,50922,1,B+,,NASDAQ,TSLA,8DGO40,JMVLTCSX25UY,6M7D0SFZUSB0,2014-08-22,2028-03-08,11,10,34170202,20638715
TXN672405,QCFV8DD6Q5,JR61401RZZ,D3FPGDRHAZ,Company 781,City 62,DE,57673,967093,1,A,,NASDAQ,MSFT,TTCYX9,3H86KRRPH4NN,8JWWJIKUHA55,2012-01-20,2026-12-23,11,24,34325149,35892196
TXN796990,2TJQEZHW8Q,O0KIVAB24I,2ECSCQTYCJ,Company 48,City 3,DE,34378,471539,2,A+,77-8026563,NASDAQ,MSFT,OM73WX,Q5SKGO7TCD8E,KRBHSLQ7S9SE,2020-12-19,2029-03-07,5,27,31933871,48757241
TXN289593,H8742U39S5,4HX5OZS0GZ,Z6VN8Y23MP,Company 664,City 74,DE,19209,971923,3,A,,,MSFT,B6WA2Z,D4Z8TFSYOX5R,MJFT5V5WBG83,2023-03-22,2032-09-20,7,0,22564911,31997173
TXN593548,4OKMB8O48W,KKM4LRQZ49,WGSKRPBSPD,Company 654,City 59,UK,92730,845305,2,B+,34-2574542,LSE,MSFT,8UPJOV,6SGFWZT3W3TX,U9XEE3YW4Z1L,2019-12-24,2030-06-22,11,13,8223561,22302418
TXN679879,753PAA8NDP,CDKKGJOFUC,4Y4N0DER3C,Company 595,City 7,FR,22057,648756,3,B,,,TSLA,UQFFCQ,XFBMRLS7WP1Z,DUFJL7UP7IS6,2014-07-18,2025-11-16,19,14,37626662,40665512
TXN823298,VESEF06HPX,S79HBG1ZJS,3PO63XBJOJ,Company 909,City 2,UK,14075,16899,2,B,,,AAPL,MOWXMF,7R1A8CFUJCH2,N26G5B6INTLC,2018-06-15,2026-07-18,6,7,36568483,43419488
TXN168869,OHGRXOKTQU,0N6VZ0M6NX,U9EC01N3XV,Company 981,City 45,US,18498,586936,3,A,38-7496174,NYSE,MSFT,J8TYQC,QS7HE42IJNT7,18EEIHRLNL2Y,2015-03-02,2037-03-08,7,7,16762027,13741174
TXN988075,9GOHZPUY6P,U8G3DP4T39,1JG36ZJUHR,Company 659,City 75,US,98662,754078,3,B+,,,GOOGL,22BXDQ,H10ICWW1W3O6,XNPRKVXWSGZD,2025-12-08,2034-12-31,15,19,28932024,34202431
TXN667908,CQNJO5ONE5,FY3MO14MZK,VQ8MB52963,Company 749,City 47,DE,10203,887677,3,B,,,AAPL,8CGEJO,41T0VFZYD827,5Y60U03SH6I0,2019-07-22,2033-02-17,17,9,41457522,4155727
TXN296010,1LTN1RK45H,UPNF9TTGOR,0ZFDFXMPFJ,Company 509,City 95,UK,33319,652400,1,A,47-3090459,,GOOGL,5TRU3J,IWX8GUHYJQNN,2HOUFAP0IVWE,2025-01-14,2035-01-31,0,8,34881105,21995927
TXN791984,L63AESFDWW,ND55HPKC10,DY4FWISHCU,Company 439,City 55,US,19176,715716,2,B,59-1332559,NYSE,,3F7IYR,NEONGONOX59K,5AS3W0E9347A,2010-08-16,2025-06-29,9,15,31220955,42699800
TXN687482,AHM10QJAF9,ZCEEVDDI9U,ZY0X8JA3JP,Company 821,City 65,UK,27411,347980,2,C,,,MSFT,2GZF71,T5LM4AKE091B,32HM2YTN5HPA,2011-07-19,2028-06-27,3,19,22699305,46628972
TXN699953,G7DXSMWRJQ,ONTUYC5YR5,HEZ88S6XLD,Company 909,City 40,CA,96863,260799,2,B,,,TSLA,BZQGAQ,4EKU8Q3TZ462,BTJRUJVFLFZ0,2013-03-21,2025-12-15,9,16,39851817,33177750
TXN738684,B7JOIEOMM4,N25X1LBD95,6R3FSM886U,Company 807,City 83,US,37529,902610,2,A+,,NASDAQ,MSFT,DPZGAZ,BML5QUSPCAX8,1D2OL6O8L3XJ,2015-04-08,2038-08-27,7,2,1999535,6395326
TXN631011,RYFOK0GXHL,UIPY2PK0Y5,LY5Z0DV1UU,Company 956,City 83,FR,35979,833757,1,B,,,MSFT,8U7HF8,1TOF5E4QUDLD,B7PRWGGBZ4JR,2019-01-03,2036-09-06,7,24,17204169,23095520
TXN129153,K2JNICJ5FJ,LYBF4SBAXD,CDUO9TUV2N,Company 939,City 99,US,88346,268000,2,C,,LSE,,4RDP1V,59HQF01ODHIF,O8ERSUDAK3JB,2015-01-08,2037-07-10,6,11,10449902,14068131
TXN245290,DPCQWWD3GV,5O2ZWUIIK6,UZTU5VFJMJ,Company 659,City 53,DE,12707,61603,2,B,,NYSE,TSLA,FTZH1Q,NSMSPUKO55WK,XC0W15SP3I1T,2011-06-02,2029-01-06,13,23,21073250,25185782
TXN275093,REK4FC2O1E,WYZ6UZ9X3B,UEZHSBDXDO,Company 152,City 85,CA,88164,871586,2,B+,12-7946019,NASDAQ,AAPL,F183EQ,YDTIAAP6WD4U,BY10X9BSF2RJ,2016-10-17,2040-11-17,3,13,3406541,35854822
TXN959923,YKEV9PFF7R,C53ZAKBWUL,GV8PBYXTCY,Company 204,City 35,CA,18134,319679,1,C,43-1802551,LSE,TSLA,PXVT9K,4Y5WCYD2XVEG,Z9BSZRVYB7PN,2024-07-23,2040-06-23,13,21,18996738,22788076
TXN867198,CXS3CUNK4E,0JA7PZQML4,2WS8FORCIY,Company 548,City 76,CA,66514,711945,1,B,,,GOOGL,JQKMPB,DNAMBQB3T2DE,KWFLMRDHZGV9,2014-10-21,2034-02-09,17,21,34130345,16958009
TXN855199,TUQB168M0N,R6EHJFI59Q,P27VY9DR8F,Company 387,City 77,UK,26533,19198,3,C,72-6686948,,GOOGL,JMULJO,6EZB3TN08DOW,8IHR9LX1JBEP,2020-02-17,2025-04-24,17,12,21573441,11899683
TXN807835,Y9EN4P00K9,0GSU6R7WJR,2BVAJXN4RK,Company 164,City 52,CA,96664,112016,1,B+,52-9928678,NYSE,AAPL,M15KGD,YPSYQGUBL3WG,EU639PZBP1S4,2023-05-09,2031-03-01,5,5,28800793,22758541
TXN640967,D7UWVCUWL5,UKDZRKHQ6K,09GNLGNIX8,Company 113,City 90,FR,70142,419293,2,A+,31-8152594,,MSFT,0VX7QN,50AAN5NOYFST,WPBP7OC63LKK,2018-03-23,2030-11-02,7,29,30454470,49093652
TXN953337,MZ7BARMJGD,VG4MUYVTZ6,K94A58TE8T,Company 64,City 12,CA,30182,943078,3,B,98-5257885,NYSE,TSLA,WNEZQ5,80C3F96LOWTJ,1FEN6AIBLMW7,2021-09-19,2026-10-13,13,25,23178130,45459650
TXN910851,IY6S63BISC,57LIP6Y2C3,B106UB6M63,Company 63,City 56,DE,79950,323106,2,A,,LSE,AAPL,WFJRC0,BVWBBA1IFOS7,7Y6UMGBVGPPP,2020-05-10,2040-11-25,6,21,42341610,16262018
TXN270653,MJNBZGIJ4U,ROARENQRW6,AHT78YU121,Company 238,City 96,UK,54331,990034,1,B+,,NYSE,TSLA,PK7PMX,RPC7WE582R05,HGWPHFCUGKWX,2015-10-24,2034-05-11,5,4,47665047,26958928
TXN960003,1GI8UXXE81,RPWLMKN4H8,GG7ITWP5OX,Company 745,City 70,FR,38562,783379,1,B,,LSE,MSFT,E4H0FQ,YECQIJSE97WS,QPYVO3L4YCMA,2023-07-08,2025-09-27,10,21,37913795,7254793
TXN716848,4SP8DQNT0Z,5K6N3F6VVI,HGK65D9NF2,Company 873,City 10,DE,79681,388523,3,A,,LSE,GOOGL,PKNGK4,9KAYJJMK2WJB,UUROEVUQ7TLX,2021-11-30,2034-10-24,17,29,24293096,6758239
TXN856953,F7FM17VVG8,XUIG1XXALM,A9QNMOK6MJ,Company 337,City 78,UK,68858,750106,2,A+,,NASDAQ,AAPL,0OEDST,X2R65E1NM3R8,N77HRTDWPI6I,2020-11-03,2040-09-08,3,22,8181187,12062866
TXN268628,KJB23CV4O2,7MFF2EPRBN,W8F5S5DT5Z,Company 599,City 52,CA,38992,533225,1,B+,,NASDAQ,AAPL,6NHFKB,K8A96N26ZWGM,8HN4HIZQEWGD,2023-05-18,2028-02-28,19,24,42267130,43990730
TXN135069,PNJF002LDO,ZLYD7CQNX5,3GTFGSX8MX,Company 148,City 63,DE,88222,219584,3,C,,,,F8S8G0,TOEFRTVQYKCA,1VCRP0CT3I8L,2018-11-19,2040-11-20,2,30,48290407,11782760
TXN956471,C7N06DGG4U,9TWFPN6LAE,VVF05RCKVP,Company 792,City 77,CA,52541,700492,2,A+,89-5239505,,MSFT,PXANB4,6WZ4X7PXPA4P,KEP678JC1V59,2022-05-29,2039-04-20,5,9,12281167,37458947
TXN723315,JSDJX0XVMA,8SQ4EJG8K9,GGXHY73OXR,Company 97,City 63,US,42111,483181,1,A+,86-6772619,LSE,TSLA,VX9R7O,4T4WBPJ93UQ4,89Q5N9SYA65M,2022-12-30,2028-04-10,3,24,33065342,3256044
TXN537245,IUVDB15AYB,ZCMD4XJP1A,P6NZQF1G9P,Company 560,City 32,UK,30771,737362,3,B+,76-2999945,,TSLA,LVQMLR,K4NMQESV0SWV,IAJVSCIL85TH,2011-07-15,2027-10-03,10,28,32908528,45608241
TXN225205,W8KCNGCA3L,NCQLT4VGEF,7OTLJWCVOT,Company 23,City 54,FR,43264,928068,1,A,88-2600940,NASDAQ,TSLA,6RLK16,BBNOO4N93FNH,LWHZ3CU3VYFB,2022-01-15,2034-12-05,0,7,7181217,7859945
TXN822231,7IWCAEG7FB,MUWSHPBI1Y,QI0TXFSJNW,Company 567,City 20,DE,36358,480111,2,C,58-7685355,NYSE,,85W5GJ,GTICUR1O9ZRT,U3UOCJSESTOJ,2020-12-25,2034-01-02,6,11,46863153,4943600
TXN583702,0MINNMGXPK,VI7CFTE7HR,6AZN5YG1NA,Company 626,City 40,US,78578,970975,2,B+,86-4182584,NASDAQ,TSLA,CIJXLJ,76A3HZZI9D3E,22PR3WQF61F8,2013-06-16,2026-02-15,13,24,41005227,23105971
TXN644415,7MHV7QRE36,12W7V4S6CM,MJ87E117QX,Company 300,City 64,US,54058,245499,2,B+,54-8054847,LSE,MSFT,79DKU4,1O744MBSF7ML,33LJEQXAP8ED,2013-10-03,2033-06-16,6,22,36401395,11264243
TXN940546,GZGU78Q5IC,V6K4E8BXH0,IDHR3RHAQR,Company 38,City 36,US,35494,312329,3,A,88-8756354,,MSFT,X1LIHT,Y4A328D65DPL,EIPGB5CYPFAT,2010-01-08,2039-03-09,17,26,29777975,23010766
TXN403984,PT4YVNBOAN,EKBV5E8JDC,UF702KNC31,Company 534,City 97,US,24295,142343,1,B,,NYSE,MSFT,84T0JC,KFMS14W4MOQ7,CYPSO6IZ6B4X,2024-07-26,2037-09-06,0,17,8201590,47165577
TXN846146,BGQMJCL76C,HV2QII99JL,UZI43SIRKH,Company 876,City 12,DE,97300,164643,1,B,,NASDAQ,GOOGL,GHLSDV,D4T0HC9OC0M0,81EFLISRW3W1,2020-06-25,2025-09-23,5,23,27603539,42695713
TXN886738,K7Z2LMTI0L,5C4TEU752Y,MJRQ9YPLFG,Company 375,City 85,DE,22417,240657,1,A,79-9615934,,GOOGL,LEGB3G,6SCGH8D4GU6K,M1LRSGM7OJSS,2025-11-07,2034-06-09,4,9,12436010,35248098
TXN565814,8Q1904SXPM,BEY8BI5CGJ,YL3UIJGKX3,Company 549,City 68,FR,66594,100704,1,B+,24-4224298,LSE,AAPL,1JQC8K,T746JQCOMQJO,0EJOEZDQNXBX,2014-10-22,2033-04-18,6,30,12278118,40785353
TXN939226,G06SDPRAP2,DJFUXN4BLP,GJU9IYJ3QO,Company 735,City 87,UK,69173,370344,3,A+,,NYSE,TSLA,NYEL55,VSO4IPU63C61,L1AEZXTFDCMH,2023-05-24,2034-09-25,3,16,43874595,5139523
TXN190064,WQM3GAZX7V,CLOUNX5QBS,4C9EOFMBB4,Company 346,City 33,DE,38770,278047,3,C,12-6553655,,TSLA,YHWE5N,2JMDJC59XBPR,DJ7CRNX9DZHT,2021-12-25,2029-10-04,18,20,2886496,26555941
TXN875590,U2050XDO5U,7QH9TTASWB,HOKV5GMJV4,Company 413,City 59,US,71867,426489,1,B+,,,AAPL,03509B,7MG6U2VUUMPD,32QV2UV79KDO,2020-07-15,2031-11-06,16,28,22611967,36637049
TXN818609,CHEFBTJ9OC,4OFQU1HQH0,ADM4ZA9TH3,Company 606,City 28,CA,40156,418022,2,A+,84-6373636,NASDAQ,MSFT,WE2BJH,6G7IQHMO9PL4,BJU55XDGJ5N2,2011-03-02,2030-02-28,16,0,21448432,39966503
TXN854650,47Y6MGJ30A,AG051GOOKB,HNWZ55NQCD,Company 955,City 25,DE,58865,103487,3,C,,,TSLA,5LVGFA,YUT02BM7QO6U,MN578NXIDSPY,2014-05-27,2038-06-21,6,20,12635665,2092982
TXN149426,5C1S0DE8ON,UJVPLKRZBP,S0FRZLFHG3,Company 555,City 48,CA,70097,493696,3,C,,,TSLA,B7ODMU,1FYNSC2Q3NHF,3A7IVE456G6Z,2017-08-27,2037-01-27,2,15,47409473,19512445
TXN975487,XYG13WAXI7,LUNMDSKU23,EQ0BQ0N4KO,Company 823,City 73,FR,14584,553650,1,A,18-7680097,NASDAQ,AAPL,0QFCOQ,832KH89DNAIA,8MV0KMK6FYY7,2025-08-09,2030-10-06,5,16,20330693,25145263
TXN940882,LWH7JQOIJ0,4XH89MFG52,0HW5JJJ41J,Company 645,City 79,FR,80265,5301,2,A,,LSE,GOOGL,UXSLDX,Z99GQIMPN8YY,FA5U5HUXKFP1,2022-09-11,2036-08-18,12,1,19433352,16644443
TXN841707,VDOZIDFT7E,HG4ALU5IJR,WXX3DX4SBL,Company 523,City 38,US,56325,932320,1,B+,97-3604897,LSE,MSFT,4BAB86,C38SYH9HXWY6,RRXX61CVAWX2,2025-06-15,2029-11-22,19,14,12590942,29070362
TXN910329,S7J5UY9NMD,4UJAULO3TF,O3DKS3G1RM,Company 201,City 17,FR,55216,697647,2,B+,53-7524629,NASDAQ,,0PF1NT,WGTN1AN7LEKX,FLADWTXAKI4U,2023-03-28,2039-07-22,8,13,40929677,19186370
TXN977367,8SEAREBTQE,O1UOPUDOAT,NPFQHL3WT0,Company 791,City 95,DE,67041,671193,3,B,,,TSLA,HB24OL,9H55LXYAJTOK,A79RL2NIAE5P,2011-11-15,2034-03-31,19,11,24474626,20458477
TXN304348,ON3V8RX4KU,RWQFOW87DD,14CDVK4KS2,Company 879,City 98,UK,77914,435879,2,B,76-9732842,LSE,TSLA,QF0F48,NP247VL3CWV7,4UBOTAQBNYPE,2016-01-28,2035-07-04,9,16,28807240,4868171
TXN953062,MXHGDSPQ4K,PTI8VSM9UP,EUYKB9PAQW,Company 961,City 16,US,49010,945090,3,A,,NYSE,TSLA,YRTDE6,XHU2AFW13GX1,36FHIQ7N0NCR,2012-07-06,2033-04-23,5,6,20668910,31883092
TXN867219,62QV5O15IG,AWJUOXTDEZ,V96WGA1SPZ,Company 538,City 63,DE,57767,383920,1,B+,,NYSE,TSLA,0PZNUJ,HPCZ1D615XDR,8VDVYWSEAM90,2012-03-18,2035-06-10,15,15,9366024,49036008
TXN839161,4MWJCFBBHS,K2VBDUXVNS,EL5J33MF8G,Company 79,City 23,CA,70347,97690,3,A+,,LSE,MSFT,RQCL9C,5HLXYB5HQGVN,KCHWL5ZJO4RR,2019-01-20,2037-11-20,9,3,20026324,39717929
TXN451157,S64AOT1Q5M,K3MCFMJ29S,QW9C8D2PUJ,Company 86,City 56,FR,40761,425340,3,B+,17-8034816,,GOOGL,FV0CEE,T07L7GY4V36R,3LUY0JEQGTY4,2016-04-01,2028-08-09,18,6,6392560,22456064
TXN746189,C1T1KFJ6NJ,BLXP5A76VE,H3XW7IV13T,Company 417,City 3,DE,69699,415005,1,B,,NYSE,,G2536H,I5CPBZ1BIPDJ,4CNJSQJX5HNW,2011-10-17,2035-08-25,1,11,18064225,44936651
TXN438833,D4G4U05NVZ,D7NBGOJFHE,0XF17JMTAO,Company 296,City 18,US,21940,300512,2,A,93-3280810,NYSE,AAPL,YAPU02,KQQZ6XNQ29XF,VY2ZD6LD8AOG,2018-05-03,2038-10-10,9,20,16875445,35990362
TXN323282,DG46X3711V,I1YYJPI8JB,HMEFD70MIL,Company 626,City 39,US,38888,156555,2,A+,,,GOOGL,4KZKU4,3EE042621FWL,2VRNP3XK8UGH,2024-12-14,2036-05-11,6,17,13251455,8964442
TXN791318,XGQDA718AS,MYWC3LNUOA,NJGWSJ7O8N,Company 44,City 89,UK,13181,554248,1,B,71-8406249,NYSE,GOOGL,JGA8V2,1WU8GO02V2R4,Z7Z1GTSEFUA9,2024-11-05,2028-10-08,12,7,11723002,30003738
